entity_type,entity_id,request_path,new_request_path,target_path,redirect_type,store_id,description,is_autogenerated,metadata
custom,,otica-heavy-duty-foldable-soft-stretcher-for-medical-use-portable-waterproof-stretcher-for-patient-emergency-use-patient-transport-stretcher-with-carry-bag-support-upto-130kg-weight.html,,medical-device/product/emergency-stretcher.html,301,7,,,
custom,,product-carousels-3,,all-products.html,301,7,,,
custom,,athlete2-home-fi-2,,all-products.html,301,7,,,
custom,,test-otica-product.html,,all-products.html,301,7,,,
custom,,home-otica-new-123,,all-products.html,301,7,,,
custom,,product-grid-columns,,all-products.html,301,7,,,
custom,,product-carousels-2,,all-products.html,301,7,,,
custom,,video,,all-products.html,301,7,,,
custom,,products-grid,,all-products.html,301,7,,,
custom,,faq-v2-3,,faq,301,7,,,
custom,,faq-3,,faq,301,7,,,
custom,,brands-widget-2,,all-products.html,301,7,,,
custom,,categories-widget-2,,all-products.html,301,7,,,
custom,,categories-widget-3,,all-products.html,301,7,,,
custom,,infinite-slide-2,,all-products.html,301,7,,,
custom,,buttons-2,,all-products.html,301,7,,,
custom,,home,,all-products.html,301,7,,,
custom,,buttons-3,,all-products.html,301,7,,,
custom,,video-3,,all-products.html,301,7,,,
custom,,products-list-3,,all-products.html,301,7,,,
custom,,expand-content,,all-products.html,301,7,,,
custom,,faq-v2-2,,faq,301,7,,,
custom,,video-2,,all-products.html,301,7,,,
custom,,product-grid-columns-2,,all-products.html,301,7,,,
custom,,faq-2,,faq,301,7,,,
custom,,infinite-slide-3,,all-products.html,301,7,,,
custom,,faq-v2,,faq,301,7,,,
custom,,expand-content-2,,all-products.html,301,7,,,
custom,,typography,,all-products.html,301,7,,,
custom,,buttons,,all-products.html,301,7,,,
custom,,products-grid-3,,all-products.html,301,7,,,
custom,,brands-widget,,all-products.html,301,7,,,
custom,,typography-2,,all-products.html,301,7,,,
custom,,athlete2-home-fi-3,,all-products.html,301,7,,,
custom,,products-list-2,,all-products.html,301,7,,,
custom,,"otica-stainless-steel-kidney-tray-reusable-kidney-shaped-emesis-basin-for-hospital-clinic-dental-and-surgical-use-medical-tray-for-soiled-dressings-and-instruments-8-inch.html?size=8 
inch",,surgical-instrument/product/kidney-tray.html,301,7,,,
custom,,products-grid-2,,all-products.html,301,7,,,
custom,,in/thermoscan-ear-thermometer-lens-filters-pack-of-20-disposable-covers-hygienic-protection-for-accurate-readings.html,,home-healthcare-devices/mother-and-child-care/thermometer.html,301,7,,,
